alpha,poly,rscore
0.000000,1,0.648647926426
0.000000,2,0.914076082527
0.000100,1,0.648680849039
0.000100,2,0.918153371019
0.000200,1,0.648713334869
0.000200,2,0.918880970613
0.000300,1,0.648745393173
0.000300,2,0.919369490011
0.000400,1,0.648777032949
0.000400,2,0.919712004816
0.000500,1,0.648808262943
0.000500,2,0.919947809065
0.000600,1,0.648839091661
0.000600,2,0.920098621913
0.000700,1,0.648869527374
0.000700,2,0.920178269774
0.000800,1,0.64889957813
0.000800,2,0.920196438124
0.000900,1,0.648929251754
0.000900,2,0.920160390098
0.001000,1,0.648958555866
0.001000,2,0.920075851824
0.001100,1,0.648987497877
0.001100,2,0.919947510023
0.001200,1,0.649016085004
0.001200,2,0.91977931452
0.001300,1,0.649044324273
0.001300,2,0.919574660227
0.001400,1,0.649072222523
0.001400,2,0.919336515221
0.001500,1,0.649099786417
0.001500,2,0.919067507166
0.001600,1,0.649127022444
0.001600,2,0.918769983861
0.001700,1,0.649153936926
0.001700,2,0.918446061745
0.001800,1,0.649180536023
0.001800,2,0.918097657083
0.001900,1,0.649206825737
0.001900,2,0.917726516853
0.002000,1,0.649232811917
0.002000,2,0.917334240004
0.002100,1,0.64925850027
0.002100,2,0.916922293517
0.002200,1,0.649283896353
0.002200,2,0.916492028778
0.002300,1,0.649309005589
0.002300,2,0.916044694869
0.002400,1,0.649333833267
0.002400,2,0.915581445777
0.002500,1,0.649358384544
0.002500,2,0.915103352836
0.002600,1,0.649382664451
0.002600,2,0.914611411493
0.002700,1,0.649406677898
0.002700,2,0.914106547182
0.002800,1,0.649430429675
0.002800,2,0.913589623542
0.002900,1,0.649453924459
0.002900,2,0.91306144512
0.003000,1,0.649477166811
0.003000,2,0.912522764381
0.003100,1,0.649500161189
0.003100,2,0.911974284975
0.003200,1,0.64952291194
0.003200,2,0.911416665311
0.003300,1,0.649545423313
0.003300,2,0.910850522835
0.003400,1,0.649567699457
0.003400,2,0.910276436888
0.003500,1,0.649589744422
0.003500,2,0.909694950981
0.003600,1,0.649611562167
0.003600,2,0.909106576221
0.003700,1,0.649633156559
