alpha,poly,rscore
12.000000,3,0.150493567816 0.0721318487017
12.000000,4,0.150553516742 0.0722706298362
12.000000,5,0.151057786415 0.0697908091386
12.000000,6,0.443795554435 0.385283111235
12.000000,7,0.671292547358 0.609354753779
12.000000,8,0.664585066706 0.594409883966
12.000000,9,0.644190078049 0.570874665322
12.000000,10,0.656898031684 0.591465139134
13.000000,2,0.158304143961 0.075946527693
13.000000,3,0.150493522769 0.0721262905939
13.000000,4,0.150550687315 0.0722562160894
13.000000,5,0.150998802262 0.0701344507134
13.000000,6,0.444375643934 0.38599819592
13.000000,7,0.671954773029 0.610005890234
13.000000,8,0.664113894499 0.593898022387
13.000000,9,0.643404842054 0.570048974083
13.000000,10,0.655923448526 0.590412970884
14.000000,2,0.158235449174 0.0756950639743
14.000000,3,0.150493474118 0.0721207291807
14.000000,4,0.150547637068 0.0722416527436
14.000000,5,0.150935099411 0.0704739745134
14.000000,6,0.444125160928 0.385893281263
14.000000,7,0.671825819102 0.609879733276
14.000000,8,0.663548269177 0.593292251968
14.000000,9,0.642558452432 0.569153169569
14.000000,10,0.654860998688 0.589254156796
15.000000,2,0.158161666405 0.075438849019
15.000000,3,0.150493421864 0.072115164462
15.000000,4,0.150544356259 0.0722268923007
15.000000,5,0.150866677927 0.0708093800936
15.000000,6,0.442336721671 0.384271130541
15.000000,7,0.671238819335 0.609305558673
15.000000,8,0.662911017631 0.592615044022
15.000000,9,0.641662953982 0.568201460731
15.000000,10,0.653733168459 0.588016823829
16.000000,2,0.158082795727 0.0751778828943
16.000000,3,0.150493366006 0.0721095964378
16.000000,4,0.150540853478 0.0722119740418
16.000000,5,0.150793537629 0.0711406682425
16.000000,6,0.440514455776 0.382617005173
16.000000,7,0.670461880528 0.608549605097
16.000000,8,0.662220151814 0.591884880236
16.000000,9,0.640726729886 0.567203824777
16.000000,10,0.652554240605 0.586718848126
17.000000,2,0.157998837211 0.0749121656673
17.000000,3,0.150493306545 0.0721040251082
17.000000,4,0.15053711875 0.0721968555199
17.000000,5,0.150715678094 0.071467840555
17.000000,6,0.438685993339 0.380958178257
17.000000,7,0.669622192125 0.607738161602
17.000000,8,0.661502739225 0.591131268727
17.000000,9,0.639757442212 0.566169432748
17.000000,10,0.651334278206 0.585372812811
18.000000,2,0.157909790929 0.0746416974053
18.000000,3,0.150493243479 0.0720984504731
18.000000,4,0.150533163246 0.0721815825841
18.000000,5,0.150633099649 0.0717908952228
18.000000,6,0.436851414439 0.379294728607
18.000000,7,0.668530043422 0.60668181126
18.000000,8,0.660784025835 0.590382204954
18.000000,9,0.638764346283 0.565109378382
18.000000,10,0.650081480048 0.583988932976
19.000000,2,0.157815656953 0.0743664781753
19.000000,3,0.15049317681 0.0720928725326
19.000000,4,0.150528971604 0.0721660963834
19.000000,5,0.150545801688 0.0721098343287
19.000000,6,0.435010736939 0.377626673623
19.000000,7,0.667376094557 0.605566941777
19.000000,8,0.660089206696 0.589666081323
19.000000,9,0.637762061552 0.564041161597
19.000000,10,0.648804031674 0.582577338483
20.000000,2,0.157716435356 0.0740865080446
20.000000,3,0.150493106537 0.0720872912866
20.000000,4,0.150524574905 0.0721505103323
20.000000,5,0.150518510116 0.0721850706885
20.000000,6,0.433164033312 0.375954084452
20.000000,7,0.666209440885 0.60444165702
20.000000,8,0.659410809331 0.588974234428
20.000000,9,0.63676979813 0.56298773577
20.000000,10,0.647512235344 0.581150674178
21.000000,2,0.157612126208 0.0738017870802
21.000000,3,0.150493032661 0.0720817067351
21.000000,4,0.150519933311 0.0721346813406
21.000000,5,0.150514736764 0.0721784431116
21.000000,6,0.431311342214 0.374276998846
21.000000,7,0.665029897436 0.603305774031
21.000000,8,0.658709930261 0.588261482038
21.000000,9,0.635799681526 0.561963541868
21.000000,10,0.646218221948 0.579723749824
22.000000,2,0.157502729582 0.0735123153494
22.000000,3,0.15049295518 0.0720761188782
22.000000,4,0.150515074001 0.0721187051152
22.000000,5,0.150509276528 0.0721847167918
22.000000,6,0.429452669406 0.372595422131
22.000000,7,0.663837687815 0.602159517139
22.000000,8,0.657998365807 0.58753993347
22.000000,9,0.634863985729 0.560983156573
22.000000,10,0.644932988463 0.578309936223
23.000000,2,0.15738824555 0.0732180929193
23.000000,3,0.150492874096 0.0720705277158
23.000000,4,0.150509995565 0.0721025743029
23.000000,5,0.150426698637 0.072459183775
23.000000,6,0.427588104766 0.370909442359
23.000000,7,0.662632703633 0.601002779196
23.000000,8,0.657277461051 0.586810970465
23.000000,9,0.633921390448 0.559997223412
23.000000,10,0.64366199608 0.576915830803
24.000000,2,0.157268674184 0.072919119857
24.000000,3,0.150492789408 0.072064933248
24.000000,4,0.150504673259 0.0720862113641
24.000000,5,0.150340452777 0.0727304835688
24.000000,6,0.42571769738 0.369219107341
24.000000,7,0.661414917132 0.599835533749
24.000000,8,0.656547251276 0.58607463366
24.000000,9,0.632971016793 0.559004724065
24.000000,10,0.642421363361 0.575560895089
25.000000,2,0.157144015555 0.0726153962297
25.000000,3,0.150492701117 0.0720593354747
25.000000,4,0.150499114912 0.0720696445587
25.000000,5,0.15025053963 0.0729986149492
25.000000,6,0.423841497943 0.3675244664
25.000000,7,0.660184558355 0.598658010494
25.000000,8,0.65580775623 0.585330945759
25.000000,9,0.632014253185 0.558007321976
25.000000,10,0.641170205448 0.574195673097
26.000000,2,0.157014269735 0.0723069221046
26.000000,3,0.150492609222 0.0720537343959
26.000000,4,0.150493347951 0.0720529551201
26.000000,5,0.15015695865 0.0732635805664
26.000000,6,0.421959511373 0.365825523818
26.000000,7,0.658941435775 0.597470019725
26.000000,8,0.655058843751 0.584579755591
26.000000,9,0.63105095366 0.557004844003
26.000000,10,0.63991295033 0.572825630145
27.000000,2,0.156879436797 0.0719936975488
27.000000,3,0.150492513723 0.0720481300117
27.000000,4,0.150492513723 0.0720481300117
27.000000,5,0.150059710971 0.0735253779394
27.000000,6,0.420071880377 0.364122419179
27.000000,7,0.657685726945 0.596271738348
27.000000,8,0.654300589601 0.583821150193
27.000000,9,0.630081209195 0.555997398463
27.000000,10,0.638649829652 0.571451048913
28.000000,2,0.156739516813 0.0716757226295
28.000000,3,0.15049241462 0.072042522322
28.000000,4,0.150489858537 0.0720352940656
28.000000,5,0.149958796904 0.0737840072601
28.000000,6,0.418178564171 0.362415111742
28.000000,7,0.656417526976 0.595063261327
28.000000,8,0.653533015159 0.583055154365
28.000000,9,0.629105118992 0.554985103158
28.000000,10,0.63738065885 0.570071707773
29.000000,2,0.156594509853 0.0713529974138
29.000000,3,0.150492311913 0.0720369113269
29.000000,4,0.150484090403 0.0720190172349
29.000000,5,0.149854216318 0.0740394698474
29.000000,6,0.416279660833 0.36070369709
29.000000,7,0.655136663501 0.593844417258
29.000000,8,0.652756135405 0.582281784959
29.000000,9,0.628122587159 0.553967844731
29.000000,10,0.63610544342 0.56868761297
30.000000,2,0.156444415991 0.0710255219689
30.000000,3,0.150492205603 0.0720312970263
30.000000,4,0.150478053837 0.0720024012328
30.000000,5,0.149745970722 0.0742917628831
30.000000,6,0.414375173991 0.358988178026
30.000000,7,0.653843363722 0.592615432125
30.000000,8,0.651969963133 0.58150105682
30.000000,9,0.627133640043 0.552945654316
30.000000,10,0.634824337897 0.567298951131
31.000000,2,0.156289235298 0.0706932963619
31.000000,3,0.150492095689 0.0720256794202
31.000000,4,0.150471823649 0.0719856556788
31.000000,5,0.14968617651 0.0744257287552
31.000000,6,0.412465254071 0.357268701285
31.000000,7,0.652537464117 0.591376143365
31.000000,8,0.651174382525 0.580712838135
31.000000,9,0.626138320692 0.551918582751
31.000000,10,0.633537341143 0.565905719986
32.000000,2,0.156128967845 0.0703563206599
32.000000,3,0.150491982171 0.0720200585087
32.000000,4,0.150465431937 0.0719688612192
32.000000,5,0.149686167593 0.074424544701
32.000000,6,0.410549856236 0.35554522201
32.000000,7,0.651219017567 0.59012660458
32.000000,8,0.650369476538 0.579917223914
32.000000,9,0.625136566621 0.550886556635
32.000000,10,0.632244335586 0.564507779446
33.000000,2,0.155963613705 0.0700145949302
33.000000,3,0.15049186505 0.0720144342917
33.000000,4,0.150458777687 0.071951756039
33.000000,5,0.149686158403 0.0744233616897
33.000000,6,0.408629081627 0.353817838439
33.000000,7,0.649888145977 0.588866935352
33.000000,8,0.649555220499 0.579114185201
33.000000,9,0.62412844447 0.549849654383
33.000000,10,0.630945315152 0.5631051216
34.000000,2,0.15579317295 0.0696681192398
34.000000,3,0.150491744325 0.0720088067693
34.000000,4,0.150451969764 0.0719346184525
34.000000,5,0.149686148958 0.0744221817799
34.000000,6,0.406702937121 0.352086556352
34.000000,7,0.648544643904 0.587596933494
34.000000,8,0.648731724774 0.578303847793
34.000000,9,0.623113969114 0.548807894413
34.000000,10,0.629640233791 0.561697691263
35.000000,2,0.155617645652 0.0693168936559
35.000000,3,0.150491619996 0.0720031759414
35.000000,4,0.150444954146 0.0719173100549
35.000000,5,0.149686139211 0.0744209992347
35.000000,6,0.40477157232 0.350351521257
35.000000,7,0.647188682298 0.586316767331
35.000000,8,0.647898900619 0.57748611113
35.000000,9,0.622093137198 0.547761272343
35.000000,10,0.62832921789 0.560285639732
36.000000,2,0.155437031882 0.0689609182456
36.000000,3,0.150491492063 0.0719975418081
36.000000,4,0.150437658283 0.0718996590858
36.000000,5,0.14968612917 0.0744198149915
36.000000,6,0.40283494013 0.348612685959
36.000000,7,0.645820163822 0.585026341254
36.000000,8,0.647056674901 0.576660892552
36.000000,9,0.621065944101 0.546709782253
36.000000,10,0.627012191037 0.558868877037
37.000000,2,0.155251331713 0.0686001930761
37.000000,3,0.150491360527 0.0719919043692
37.000000,4,0.15043024684 0.0718820598816
37.000000,5,0.149686118871 0.0744186333495
37.000000,6,0.400893145831 0.346870152409
37.000000,7,0.644439101087 0.583725667803
37.000000,8,0.646205135886 0.57582829266
37.000000,9,0.620032199465 0.545653199729
37.000000,10,0.625689176463 0.557447430358
38.000000,2,0.155060545215 0.0682347182146
38.000000,3,0.150491225387 0.071986263625
38.000000,4,0.150422639439 0.0718643169099
38.000000,5,0.149686108254 0.074417447449
38.000000,6,0.39894618355 0.345123913718
38.000000,7,0.643045596468 0.58241484736
38.000000,8,0.645344266609 0.574988291868
38.000000,9,0.618992074612 0.544591727057
38.000000,10,0.624360226292 0.556021361351
39.000000,2,0.154864672462 0.0678644937281
39.000000,3,0.150491086643 0.0719806195752
39.000000,4,0.150414724299 0.0718461774372
39.000000,5,0.149686097371 0.0744162630861
39.000000,6,0.396994138859 0.343374052407
39.000000,7,0.641639505375 0.581093738339
39.000000,8,0.644474165477 0.574141001762
39.000000,9,0.617945548124 0.543525339309
39.000000,10,0.623025248516 0.554590561693
40.000000,2,0.154663713525 0.0674895196839
40.000000,3,0.150490944295 0.0719749722201
40.000000,4,0.150414191097 0.0718448318018
40.000000,5,0.149686086234 0.0744150815667
40.000000,6,0.395037545136 0.341621088492
40.000000,7,0.640220965106 0.579762475146
40.000000,8,0.64359473538 0.573286312246
40.000000,9,0.61689264806 0.542454069317
40.000000,10,0.621684296206 0.553155094212
41.000000,2,0.154457668476 0.067109796149
41.000000,3,0.150490798344 0.0719693215594
41.000000,4,0.150410489819 0.0718363851439
41.000000,5,0.149686074781 0.0744138961236
41.000000,6,0.393076450863 0.33986506757
41.000000,7,0.638789881427 0.578420966447
41.000000,8,0.642705939223 0.572424182134
41.000000,9,0.615833315544 0.541377848345
41.000000,10,0.62033741485 0.551715012375
42.000000,2,0.154246537387 0.0667253231906
42.000000,3,0.150490648789 0.0719636675933
42.000000,4,0.150402429762 0.0718183746076
42.000000,5,0.149686063061 0.0744127120579
42.000000,6,0.391110595059 0.338105733004
42.000000,7,0.637346293628 0.577069249127
42.000000,8,0.641807829938 0.571554670975
42.000000,9,0.614767625971 0.540296764525
42.000000,10,0.618984509847 0.55027020512
43.000000,2,0.15403032033 0.0663361008758
43.000000,3,0.15049049563 0.0719580103217
43.000000,4,0.150394164888 0.0718001957251
43.000000,5,0.149686051053 0.0744115271921
43.000000,6,0.389140109108 0.336343211541
43.000000,7,0.635890231603 0.575707353928
43.000000,8,0.640900419348 0.570677791749
43.000000,9,0.613695506578 0.539210733011
43.000000,10,0.617625688095 0.548820798283
44.000000,2,0.153809017376 0.0659421292717
44.000000,3,0.150490338867 0.0719523497447
44.000000,4,0.150385635577 0.0717817218972
44.000000,5,0.149686038698 0.074410335867
44.000000,6,0.387165030092 0.334577537745
44.000000,7,0.634421623496 0.574335209183
44.000000,8,0.639983800389 0.569793649871
44.000000,9,0.612617147132 0.538119976608
44.000000,10,0.616260839724 0.547366662774
45.000000,2,0.153582628598 0.0655434084456
45.000000,3,0.150490178501 0.0719466858622
45.000000,4,0.150377005783 0.0717633038217
45.000000,5,0.149686026175 0.0744091551733
45.000000,6,0.385185468515 0.332808817764
45.000000,7,0.632940580388 0.572952924733
45.000000,8,0.63905786633 0.56890212424
45.000000,9,0.611532371679 0.537024288814
45.000000,10,0.614890021679 0.545907865697
46.000000,2,0.153351154067 0.0651399384645
46.000000,3,0.150490014531 0.0719410186743
46.000000,4,0.150368168118 0.0717447099311
46.000000,5,0.149686013286 0.0744079664015
46.000000,6,0.383201568467 0.331037190362
46.000000,7,0.631447014655 0.571560414432
46.000000,8,0.638122600879 0.56800319747
46.000000,9,0.610441238996 0.535923737945
46.000000,10,0.613513290184 0.544444473008
47.000000,2,0.153114593855 0.0647317193955
47.000000,3,0.150489846957 0.0719353481809
47.000000,4,0.150359002444 0.0717256954319
47.000000,5,0.1496860002 0.0744067852013
47.000000,6,0.381213361507 0.329262684429
47.000000,7,0.629940982615 0.57015773301
47.000000,8,0.637178050756 0.567096921694
47.000000,9,0.6093436033 0.534818153245
47.000000,10,0.612130638902 0.542976479537
48.000000,2,0.152872948034 0.0643187513059
48.000000,3,0.15048967578 0.071929674382
48.000000,4,0.150349770239 0.0717067984422
48.000000,5,0.149685986704 0.0744055922806
48.000000,6,0.379220863204 0.327485313253
48.000000,7,0.628422447218 0.568744844448
48.000000,8,0.636224267162 0.566183354315
48.000000,9,0.608239582977 0.533707673358
48.000000,10,0.610742071299 0.541503888182
49.000000,2,0.152626216677 0.0639010342626
49.000000,3,0.150489500999 0.0719239972777
49.000000,4,0.150340240652 0.0716875484903
49.000000,5,0.149685973008 0.0744044064424
49.000000,6,0.3772241021 0.325705102755
49.000000,7,0.626891441651 0.567321780903
49.000000,8,0.635261234492 0.565262477259
49.000000,9,0.607129129414 0.532592242233
49.000000,10,0.609347588545 0.540026698975
50.000000,2,0.152374399854 0.063478568333
50.000000,3,0.150489322614 0.071918316868
50.000000,4,0.150330563178 0.0716682470532
50.000000,5,0.149685959028 0.0744032201982
50.000000,6,0.375223075712 0.323922048628
50.000000,7,0.625347950516 0.565888527394
50.000000,8,0.634288952136 0.564334290468
50.000000,9,0.606012338637 0.531471971654
50.000000,10,0.607947082754 0.538544786008
51.000000,2,0.152117497639 0.063051353584
51.000000,3,0.150489140625 0.0719126331527
51.000000,4,0.150320754616 0.0716489229269
51.000000,5,0.149685944751 0.0744020325077
51.000000,6,0.37321791501 0.322136276489
51.000000,7,0.623791985113 0.56444509481
51.000000,8,0.633307343634 0.563398708049
51.000000,9,0.604889165301 0.53034680889
51.000000,10,0.606540613629 0.537058217855
52.000000,2,0.151855510102 0.0626193900828
52.000000,3,0.150488955032 0.071906946132
52.000000,4,0.150310691327 0.071629333935
52.000000,5,0.149685930261 0.0744008500894
52.000000,6,0.371208606827 0.320347771546
52.000000,7,0.622223550055 0.562991487543
52.000000,8,0.632316456027 0.562455782595
52.000000,9,0.603759561582 0.529216698462
52.000000,10,0.605128022704 0.535566808819
53.000000,2,0.151588437315 0.0621826778966
53.000000,3,0.150488765836 0.0719012558059
53.000000,4,0.150300379651 0.0716094959119
53.000000,5,0.149685915404 0.0743996605966
53.000000,6,0.369195189192 0.318556568843
53.000000,7,0.620642674816 0.561527735043
53.000000,8,0.63131635237 0.561505584508
53.000000,9,0.60262366877 0.528081805003
53.000000,10,0.603709464774 0.534070741947
54.000000,2,0.151316279351 0.0617412170925
54.000000,3,0.150488573036 0.0718955621743
54.000000,4,0.1502899663 0.0715896874432
54.000000,5,0.149685900238 0.0743984687699
54.000000,6,0.367177641724 0.316762646593
54.000000,7,0.619049304898 0.560053782479
54.000000,8,0.630307020393 0.56054809989
54.000000,9,0.601481478747 0.526942119527
54.000000,10,0.602285008495 0.532570097402
55.000000,2,0.151039036282 0.0612950077375
55.000000,3,0.150488376633 0.0718898652372
55.000000,4,0.150279286566 0.0715695965363
55.000000,5,0.149685884815 0.0743972787416
55.000000,6,0.365156123738 0.314966157742
55.000000,7,0.61744349887 0.558569688311
55.000000,8,0.629288426248 0.559583290829
55.000000,9,0.600332866461 0.525797495846
55.000000,10,0.600854520391 0.531064719526
56.000000,2,0.150756708178 0.0608440498989
56.000000,3,0.150488176625 0.0718841649947
56.000000,4,0.150268375756 0.0715492921314
56.000000,5,0.149685869188 0.07439609442
56.000000,6,0.363130614298 0.313167079879
56.000000,7,0.615825217447 0.557075412783
56.000000,8,0.628260522514 0.55861110441
56.000000,9,0.5991779285 0.524648046033
56.000000,10,0.599418136734 0.529554767257
57.000000,2,0.150469295113 0.0603883436437
57.000000,3,0.150487973014 0.0718784614467
57.000000,4,0.150257238523 0.0715287844559
57.000000,5,0.149685853277 0.074394909645
57.000000,6,0.361101154479 0.311365450884
57.000000,7,0.614194509642 0.555571004823
57.000000,8,0.627223331676 0.557631565725
57.000000,9,0.598016511098 0.52349359128
57.000000,10,0.597975719292 0.528040079595
58.000000,2,0.150176797157 0.0599278890391
58.000000,3,0.150487765799 0.0718727545933
58.000000,4,0.150246023732 0.071508342933
58.000000,5,0.149685836986 0.074393717272
58.000000,6,0.359067724389 0.309561249396
58.000000,7,0.612551357983 0.554056446504
58.000000,8,0.626176928498 0.556644757942
58.000000,9,0.596848720321 0.522334254524
58.000000,10,0.596527407651 0.526520819097
59.000000,2,0.149879214384 0.0594626861522
59.000000,3,0.150487554981 0.0718670444344
59.000000,4,0.150234589225 0.0714877075295
59.000000,5,0.149685820483 0.0743925298256
59.000000,6,0.357030490149 0.307754634683
59.000000,7,0.610895726218 0.552531701646
59.000000,8,0.625121300658 0.555650667159
59.000000,9,0.595674566292 0.521170048303
59.000000,10,0.595073063901 0.524996825453
60.000000,2,0.149576546864 0.0589927350501
60.000000,3,0.150487340558 0.07186133097
60.000000,4,0.150222936159 0.0714668814123
60.000000,5,0.149685803661 0.0743913395048
60.000000,6,0.354989434147 0.30594558751
60.000000,7,0.609227691389 0.550996846585
60.000000,8,0.62405638193 0.554649218927
60.000000,9,0.594494051804 0.520000975875
60.000000,10,0.593612833298 0.523468267615
61.000000,2,0.149268794669 0.0585180357999
61.000000,3,0.150487122532 0.0718556142002
61.000000,4,0.150210914063 0.0714456023128
61.000000,5,0.149685786548 0.0743901482582
61.000000,6,0.352944601112 0.304134149164
61.000000,7,0.607547218944 0.54945184678
61.000000,8,0.622982247379 0.553640498708
61.000000,9,0.593307123663 0.51882697582
61.000000,10,0.592146642376 0.521935060138
62.000000,2,0.148955957872 0.0580385884688
62.000000,3,0.150486900903 0.0718498941249
62.000000,4,0.150198978859 0.0714246687511
62.000000,5,0.14968576917 0.0743889580399
62.000000,6,0.350895972937 0.302320299958
62.000000,7,0.605854320444 0.547896713187
62.000000,8,0.621898776611 0.552624370651
62.000000,9,0.592113899481 0.517648184085
62.000000,10,0.590674415491 0.520397115319
63.000000,2,0.148638036545 0.0575543931238
63.000000,3,0.150486675669 0.0718441707442
63.000000,4,0.150186676809 0.0714032876173
63.000000,5,0.149685751555 0.0743877705658
63.000000,6,0.348843723835 0.300504206707
63.000000,7,0.604149029626 0.54633147928
63.000000,8,0.620806090235 0.551600969242
63.000000,9,0.590914406231 0.516464632767
63.000000,10,0.589196447424 0.518854778346
64.000000,2,0.148315030758 0.0570654498321
64.000000,3,0.150486446832 0.071838444058
64.000000,4,0.150174160565 0.0713817266094
64.000000,5,0.149685733562 0.0743865764183
64.000000,6,0.346787838224 0.298685852076
64.000000,7,0.60243128706 0.544756085362
64.000000,8,0.619704188536 0.550570294608
64.000000,9,0.589708606884 0.515276278486
64.000000,10,0.587712460931 0.517307724799
65.000000,2,0.147986940585 0.0565717586609
65.000000,3,0.150486214391 0.0718327140663
65.000000,4,0.150161431144 0.0713599880277
65.000000,5,0.149685715377 0.0743853880347
65.000000,6,0.344728352758 0.296865269382
65.000000,7,0.600701126175 0.543170564608
65.000000,8,0.61859303395 0.549532304997
65.000000,9,0.588496403679 0.514083007941
65.000000,10,0.586222516011 0.515756023955
66.000000,2,0.147653766096 0.0560733196771
66.000000,3,0.150485978346 0.0718269807692
66.000000,4,0.150148646475 0.0713383368978
66.000000,5,0.149685696852 0.0743841955771
66.000000,6,0.342665289793 0.295042478068
66.000000,7,0.598958594844 0.541574964011
66.000000,8,0.617472627601 0.548487001567
66.000000,9,0.587277921931 0.51288496565
66.000000,10,0.584726693767 0.514199769714
67.000000,2,0.147315507364 0.055570132948
67.000000,3,0.150485738698 0.0718212441667
67.000000,4,0.150135479797 0.0713162243882
67.000000,5,0.149685677998 0.0743829999563
67.000000,6,0.340598795108 0.293217617082
67.000000,7,0.597203619298 0.539969210107
67.000000,8,0.616342903096 0.547434310874
67.000000,9,0.586053090183 0.511682069006
67.000000,10,0.583224835951 0.512638778973
68.000000,2,0.146972164461 0.0550621985407
68.000000,3,0.150485495445 0.0718155042586
68.000000,4,0.150122258759 0.0712941978441
68.000000,5,0.149685659018 0.0743818139121
68.000000,6,0.338528867073 0.291390682522
68.000000,7,0.595436283704 0.538353385952
68.000000,8,0.615203984189 0.546374370489
68.000000,9,0.584821830552 0.510474227289
68.000000,10,0.581717051482 0.5110731766
69.000000,2,0.146623737458 0.0545495165222
69.000000,3,0.150485248589 0.0718097610452
69.000000,4,0.150108830113 0.0712720009543
69.000000,5,0.149685639552 0.0743806149611
69.000000,6,0.336455524385 0.289561690182
69.000000,7,0.593656513737 0.536727417542
69.000000,8,0.614055831968 0.545307135506
69.000000,9,0.583584176011 0.509261479841
69.000000,10,0.580203204863 0.509502805387
70.000000,2,0.146270226428 0.0540320869596
70.000000,3,0.15048499813 0.0718040145262
70.000000,4,0.150095194125 0.0712496345011
70.000000,5,0.14968562 0.0743794277731
70.000000,6,0.334378861586 0.287730729225
70.000000,7,0.591864393517 0.535091387843
70.000000,8,0.612898431945 0.544232590689
70.000000,9,0.58234025587 0.508043975415
70.000000,10,0.578683376869 0.50792776085
71.000000,2,0.145911631442 0.0535099099202
71.000000,3,0.150484744066 0.0717982647018
71.000000,4,0.150081187726 0.0712268360811
71.000000,5,0.149685599977 0.0743782289688
71.000000,6,0.332298962427 0.285897878285
71.000000,7,0.590059888873 0.533445262597
71.000000,8,0.611731785183 0.543150737112
71.000000,9,0.581090008782 0.50682164336
71.000000,10,0.57715766098 0.506348150935
72.000000,2,0.145547952572 0.0529829854709
72.000000,3,0.150484486399 0.071792511572
72.000000,4,0.150067136562 0.0712041325505
72.000000,5,0.149685579908 0.0743770439475
72.000000,6,0.330215854121 0.284063161259
