alpha,rscore
0.000000,,0.919940301723
0.000100,,0.920891630698
0.000200,,0.921314249864
0.000300,,0.921654717931
0.000400,,0.92190398002
0.000500,,0.922064970442
0.000600,,0.922197373865
0.000700,,0.922283307372
0.000800,,0.922326997037
0.000900,,0.92231497806
0.001000,,0.922276657937
0.001100,,0.922242223217
0.001200,,0.922194707799
0.001300,,0.922143143029
0.001400,,0.922073595907
0.001500,,0.921981052541
0.001600,,0.921874636337
0.001700,,0.921754347237
0.001800,,0.921620185331
0.001900,,0.921472150667
0.002000,,0.921319820596
0.002100,,0.921323781201
0.002200,,0.921320812136
0.002300,,0.921310913454
0.002400,,0.921290687448
0.002500,,0.921259916642
0.002600,,0.921223198074
0.002700,,0.921180531385
0.002800,,0.92113191609
0.002900,,0.921077322369
0.003000,,0.921016568927
0.003100,,0.920949130185
0.003200,,0.920875692466
0.003300,,0.920797091031
0.003400,,0.920712593045
0.003500,,0.920622146476
0.003600,,0.920525745757
0.003700,,0.920423406722
0.003800,,0.920315106421
0.003900,,0.920200857939
0.004000,,0.920080656196
0.004100,,0.919952954523
0.004200,,0.919825608486
0.004300,,0.919647855368
0.004400,,0.919419310158
0.004500,,0.919183505423
0.004600,,0.918940446958
0.004700,,0.918690124892
0.004800,,0.918432546127
0.004900,,0.918167695009
0.005000,,0.917895585633
0.005100,,0.917616225015
0.005200,,0.917329602533
0.005300,,0.917035733498
0.005400,,0.916734574317
0.005500,,0.91642617849
0.005600,,0.916110510803
0.005700,,0.9157875919
0.005800,,0.915457405267
0.005900,,0.915119958827
0.006000,,0.914775259466
0.006100,,0.914423298124
0.006200,,0.914064060609
0.006300,,0.913697573258
0.006400,,0.913323835478
0.006500,,0.91294283182
0.006600,,0.912554569123
0.006700,,0.912159033564
0.006800,,0.911756244197
0.006900,,0.911346251601
0.007000,,0.910929882325
0.007100,,0.910529745719
0.007200,,0.910148536035
0.007300,,0.909765505382
0.007400,,0.90937491667
0.007500,,0.908977545465
0.007600,,0.908573374041
0.007700,,0.90816245574
0.007800,,0.907744754747
0.007900,,0.907320280315
0.008000,,0.906889062464
0.008100,,0.906451042917
0.008200,,0.906006242836
0.008300,,0.905554701325
0.008400,,0.905096348208
0.008500,,0.904631264332
0.008600,,0.904159396069
0.008700,,0.903680749601
0.008800,,0.903195329064
0.008900,,0.90270313565
0.009000,,0.902204166513
0.009100,,0.901937286842
0.009200,,0.901787790366
0.009300,,0.901628097258
0.009400,,0.901472084125
0.009500,,0.901316151009
0.009600,,0.901159356058
0.009700,,0.901001413962
0.009800,,0.900842042371
0.009900,,0.900681848164
0.010000,,0.900520304779
