alpha,poly,rscore
14.000000,8,0.583080745354
14.000000,9,0.555014633047
14.000000,10,0.57010998368
15.000000,2,0.0710306452866
15.000000,3,0.0720312995894
15.000000,4,0.0720024044123
15.000000,5,0.0742917574638
15.000000,6,0.359007658986
15.000000,7,0.592654424334
15.000000,8,0.581528748736
15.000000,9,0.552977265124
15.000000,10,0.567339753356
16.000000,2,0.0703618918062
16.000000,3,0.0720200612453
16.000000,4,0.0719688638548
16.000000,5,0.0744245431403
16.000000,6,0.355565687894
16.000000,7,0.59016837364
16.000000,8,0.579947039113
16.000000,9,0.550920235375
16.000000,10,0.564551070842
17.000000,2,0.0696741484547
17.000000,3,0.0720088096797
17.000000,4,0.0719346198844
17.000000,5,0.0744221809268
17.000000,6,0.352107962759
17.000000,7,0.587641483136
17.000000,8,0.578335806333
17.000000,9,0.548843626545
17.000000,10,0.561743433117
18.000000,2,0.0689674152319
18.000000,3,0.0719975448926
18.000000,4,0.0718996558062
18.000000,5,0.0744198144099
18.000000,6,-0.116257934275
18.000000,7,-0.116257934275
18.000000,8,-0.116257934275
18.000000,9,-0.116257934275
18.000000,10,-0.116257934275
19.000000,2,-0.116257934275
19.000000,3,-0.116257934275
19.000000,4,-0.116257934275
19.000000,5,-0.116257934275
19.000000,6,-0.116257934275
19.000000,7,-0.116257934275
19.000000,8,-0.116257934275
19.000000,9,-0.116257934275
19.000000,10,-0.116257934275
20.000000,2,-0.116257934275
20.000000,3,-0.116257934275
20.000000,4,-0.116257934275
20.000000,5,-0.116257934275
20.000000,6,-0.116257934275
20.000000,7,-0.116257934275
20.000000,8,-0.116257934275
20.000000,9,-0.116257934275
20.000000,10,-0.116257934275
21.000000,2,-0.116257934275
21.000000,3,-0.116257934275
21.000000,4,-0.116257934275
21.000000,5,-0.116257934275
21.000000,6,-0.116257934275
21.000000,7,-0.116257934275
21.000000,8,-0.116257934275
21.000000,9,-0.116257934275
21.000000,10,-0.116257934275
22.000000,2,-0.116257934275
22.000000,3,-0.116257934275
22.000000,4,-0.116257934275
22.000000,5,-0.116257934275
22.000000,6,-0.116257934275
22.000000,7,-0.116257934275
22.000000,8,-0.116257934275
22.000000,9,-0.116257934275
22.000000,10,-0.116257934275
23.000000,2,-0.116257934275
23.000000,3,-0.116257934275
23.000000,4,-0.116257934275
23.000000,5,0.0744079662026
23.000000,6,0.33106326788
23.000000,7,0.571621544707
23.000000,8,0.568048289595
23.000000,9,0.535971387976
23.000000,10,0.544504027008
24.000000,2,0.0643282285998
24.000000,3,0.0719296785183
24.000000,4,0.0717068049006
24.000000,5,0.0744055921096
24.000000,6,0.327512001562
24.000000,7,0.568808690758
24.000000,8,0.566230656931
24.000000,9,0.533757215798
24.000000,10,0.541565580317
25.000000,2,0.0634885662786
25.000000,3,0.0719183211806
25.000000,4,0.0716682551817
25.000000,5,0.0744032200502
25.000000,6,0.323949298188
25.000000,7,0.565955067567
25.000000,8,0.564383802905
25.000000,9,0.531523385753
25.000000,10,0.538608564688
26.000000,2,0.0626299140861
26.000000,3,0.0719069506214
26.000000,4,0.0716293433225
26.000000,5,0.0744008499623
26.000000,6,0.32037553226
26.000000,7,0.563060696171
26.000000,8,0.562507501512
26.000000,9,0.529269953769
26.000000,10,0.535632620642
27.000000,2,0.0617522720224
27.000000,3,0.0718955668407
27.000000,4,0.0715896979315
27.000000,5,0.0743984686557
27.000000,6,0.31679086773
27.000000,7,0.560125630943
27.000000,8,0.560602019541
27.000000,9,0.526997188623
27.000000,10,0.532637887955
28.000000,2,0.0608556400876
28.000000,3,0.0718841698385
28.000000,4,0.0715493042271
28.000000,5,0.0743960943204
28.000000,6,0.313195710261
28.000000,7,0.557149869211
28.000000,8,0.558667216349
28.000000,9,0.524704885468
28.000000,10,0.52962448038
29.000000,2,0.0599400182815
29.000000,3,0.0718727596148
29.000000,4,0.0715083558212
29.000000,5,0.0743937171845
29.000000,6,0.309590237254
29.000000,7,0.554133475855
29.000000,8,0.556703051115
29.000000,9,0.522392833046
29.000000,10,0.526592396706
30.000000,2,0.0590054066042
30.000000,3,0.0718613361696
30.000000,4,0.0714668950295
30.000000,5,0.0743913394285
30.000000,6,0.305974880623
30.000000,7,0.551076410547
30.000000,8,0.55470968062
30.000000,9,0.520061256122
30.000000,10,0.523541650244
31.000000,2,0.0580518050557
31.000000,3,0.0718498995028
31.000000,4,0.0714246830774
31.000000,5,0.0743889579742
31.000000,6,0.302349845595
31.000000,7,0.547978770283
31.000000,8,0.552686983118
31.000000,9,0.517710126807
31.000000,10,0.520472241611
32.000000,2,0.057079213636
32.000000,3,0.0718384496146
32.000000,4,0.0713817416241
32.000000,5,0.0743865763613
32.000000,6,0.298715597117
32.000000,7,0.544840590921
32.000000,8,0.550635039913
32.000000,9,0.515339842955
32.000000,10,0.517384532412
33.000000,2,0.056087632345
33.000000,3,0.0718269865048
33.000000,4,0.0713383525525
33.000000,5,0.0743841955264
33.000000,6,0.295072368913
33.000000,7,0.541661870135
33.000000,8,0.548553858454
33.000000,9,0.512950109201
33.000000,10,0.514278193851
34.000000,2,0.0550770611829
34.000000,3,0.0718155101735
34.000000,4,0.071294214478
34.000000,5,0.0743818138694
34.000000,6,0.291420665304
34.000000,7,0.53844264154
34.000000,8,0.546443314989
34.000000,9,0.510540905516
34.000000,10,0.51115315105
35.000000,2,0.0540475001496
35.000000,3,0.0718040206208
35.000000,4,0.0712496516867
35.000000,5,0.074379427737
35.000000,6,0.287760749658
35.000000,7,0.535182938628
35.000000,8,0.544303596426
35.000000,9,0.508112142144
35.000000,10,0.508009217875
36.000000,2,0.052998949245
36.000000,3,0.0717925178465
36.000000,4,0.0712041502907
36.000000,5,0.0743770439188
36.000000,6,0.28409316481
36.000000,7,0.531882836273
36.000000,8,0.542134626248
36.000000,9,0.505664091618
36.000000,10,0.504846679588
37.000000,2,0.0519314084692
37.000000,3,0.0717810018507
37.000000,4,0.0711582429479
37.000000,5,0.0743746559372
37.000000,6,0.280418218217
37.000000,7,0.52854233394
37.000000,8,0.539936309478
37.000000,9,0.50319692093
37.000000,10,0.501665659467
38.000000,2,0.0508448778223
38.000000,3,0.0717694726333
38.000000,4,0.0711116721638
38.000000,5,0.0743722688479
38.000000,6,0.276736500481
38.000000,7,0.525161506139
38.000000,8,0.537708863913
38.000000,9,0.500707378323
